country,year,growth
Denmark,1989,0.5729004026834517
Denmark,1990,1.6074436349615473
Denmark,1991,1.3004028432705983
Denmark,1992,1.97544568041923
Denmark,1993,-0.08961344414336603
Denmark,1994,5.525410346816106
Denmark,1995,3.0652233312733257
Denmark,1996,2.8345663723742476
Denmark,1997,3.1985078474696227
Denmark,1998,2.1603908504249425
Denmark,1999,2.560441535230984
Denmark,2000,3.5287152161042057
Denmark,2001,0.7048882349122598
Denmark,2002,0.46581765579374323
Denmark,2003,0.3837589895772542
Denmark,2004,2.2964908128953354
Denmark,2005,2.445180193683383
Denmark,2006,3.3439560974157567
Denmark,2007,1.6465430324917207
Denmark,2008,-1.20182205264322
Denmark,2009,-2.4330229554624494
Finland,1946,8.132123968625216
Finland,1947,2.324527892693906
Finland,1948,7.928713804554177
Finland,1949,6.0668387105109245
Finland,1950,3.8445820972695666
Finland,1951,8.503900064512337
Finland,1952,3.35117020701583
Finland,1953,0.7008001673552533
Finland,1954,8.75616722929109
Finland,1955,5.095267656749924
Finland,1956,3.0216284987277353
Finland,1957,4.7016274864376095
Finland,1958,0.5391971018155806
Finland,1959,5.94125780366197
Finland,1960,9.14771603717619
Finland,1961,7.620117399811588
Finland,1962,3.117740143429515
Finland,1963,3.294478727919814
Finland,1964,5.054368441016566
Finland,1965,5.316684218444401
Finland,1966,2.4027198445803144
Finland,1967,2.1119883938286454
Finland,1968,2.300546448087437
Finland,1969,9.630895785481552
Finland,1970,7.469304229195095
Finland,1971,2.0900394432606495
Finland,1972,7.631672439825921
Finland,1973,6.7068264807212286
Finland,1974,3.029541412110426
Finland,1975,1.152164530596167
Finland,1976,-0.4248214451349597
Finland,1977,0.24591996422982376
Finland,1978,2.0926256318763103
Finland,1979,6.957439836895185
Finland,1980,5.333923343998914
Finland,1981,1.269388261570925
Finland,1982,3.024028034749371
Finland,1983,2.9471580975487965
Finland,1984,3.0441664067283547
Finland,1985,3.2804897190394033
Finland,1986,2.625922709509343
Finland,1987,3.5583198468357002
Finland,1988,5.100967283944313
Finland,1989,5.415123861725801
Finland,1990,0.08205109293899504
Finland,1991,-6.243666979863294
Finland,1992,-3.735507958341522
Finland,1993,-0.9206148319010343
Finland,1994,3.573488812888881
Finland,1995,3.9236162912128947
Finland,1996,3.699875586180501
Finland,1997,6.199933552364434
Finland,1998,5.225333263812848
Finland,1999,3.921147604614861
Finland,2000,5.056621766599112
Finland,2001,2.7050333590523223
Finland,2002,1.5732025277299
Finland,2003,1.8106011166702851
Finland,2004,3.6963969032882904
Finland,2005,2.7679141740557744
Finland,2006,4.922908298635931
Finland,2007,4.202735153796655
Finland,2008,1.0410108135533225
Finland,2009,-6.355947584304333
France,1946,NA
France,1947,NA
France,1948,NA
France,1949,NA
France,1950,7.494004796163067
France,1951,6.134969325153383
France,1952,2.6274303730951187
France,1953,2.9185867895545226
France,1954,4.825870646766162
France,1955,5.79022306597059
France,1956,5.024674742036783
France,1957,6.023067065356691
France,1958,2.5382755842062954
France,1959,2.829076620825144
France,1960,7.0691631639281605
France,1961,5.4960742326909395
France,1962,6.630581867388341
France,1963,5.488578680203049
France,1964,6.4962406015037555
France,1965,4.687941259531203
France,1966,5.314270299433499
France,1967,4.58504098360657
France,1968,4.359539554249325
France,1969,6.946726120628943
France,1970,5.793285055957864
France,1971,5.372329392242259
France,1972,5.885826771653546
France,1973,5.3727458635434155
France,1974,3.2286520818630926
France,1975,0.18800205093147948
France,1976,5.151825315591929
France,1977,3.0661907852044035
France,1978,3.7934833936722923
France,1979,3.3060357901122384
France,1980,1.0716382853787287
France,1981,1.5475053130300953
France,1982,0.12499351992121266
France,1983,3.8668937136369985
France,1984,5.894103680837737
France,1985,5.354029513501457
France,1986,4.037552314584203
France,1987,1.7800135204994572
France,1988,-0.17284882526092948
France,1989,0.9975585490313632
France,1990,1.9275140029590965
France,1991,3.1046289614814704
France,1992,3.523104981478098
France,1993,2.7866370789358497
France,1994,5.051384341567955
France,1995,4.18634907398121
France,1996,5.099766335906386
France,1997,5.392640347045452
France,1998,2.682783490774221
France,1999,2.0257705900823764
France,2000,3.2535679946216867
France,2001,1.99015413560657
France,2002,1.5020556300010979
France,2003,1.0135240342473484
France,2004,3.864126364179432
France,2005,2.7392074428743918
France,2006,2.2808885419912883
France,2007,3.1340917857372697
France,2008,2.132130298447965
France,2009,-1.9066760919030923
Germany,1946,-52.59458369288858
Germany,1947,12.295910894748951
Germany,1948,18.43600747774996
Germany,1949,17.034007184247102
Germany,1950,18.897920045882664
Germany,1951,9.166999555311017
Germany,1952,8.669941555998184
Germany,1953,8.372459449671844
Germany,1954,7.455371537446864
Germany,1955,11.003753573532936
Germany,1956,7.166975489160077
Germany,1957,5.729374481180316
Germany,1958,4.452242713161314
Germany,1959,7.313553391929806
Germany,1960,8.061011452707989
Germany,1961,4.119201693161112
Germany,1962,4.265787541251997
Germany,1963,2.8187737921661515
Germany,1964,6.0782954913680465
Germany,1965,5.069766949504961
Germany,1966,2.9641708813209044
Germany,1967,0.3098995936499316
Germany,1968,5.27487075152242
Germany,1969,6.611442254617361
Germany,1970,4.67997665785127
Germany,1971,2.9431753890094114
Germany,1972,4.127353191607042
Germany,1973,4.538478476639818
Germany,1974,0.8273044334245361
Germany,1975,-0.5446313188203322
Germany,1976,4.828986798369828
Germany,1977,2.8775631033941096
Germany,1978,2.808429006273805
Germany,1979,4.018549053507026
Germany,1980,1.142579957258505
Germany,1981,0.11029933059203412
Germany,1982,-0.7881663968130503
Germany,1983,1.5546680992865713
Germany,1984,2.826087278205014
Germany,1985,2.19228469480488
Germany,1986,2.4173191921709636
Germany,1987,1.469355822252827
Germany,1988,3.735612714742187
Germany,1989,3.913024168371315
Germany,1990,5.7234299850911885
Germany,1991,5.011402657687203
Germany,1992,2.3058166544853043
Germany,1993,-0.7887828373604355
Germany,1994,2.6260657707294577
Germany,1995,1.8394327998847881
Germany,1996,0.9515631412577497
Germany,1997,1.7119998054545782
Germany,1998,1.9773666262468348
Germany,1999,1.9316856072093103
Germany,2000,3.224283807778039
Germany,2001,1.1507944196861075
Germany,2002,0.00627347464772221
Germany,2003,-0.23114627867422133
Germany,2004,1.176215921488355
Germany,2005,0.7320797716472649
Germany,2006,3.1758986417531387
Germany,2007,2.516482292604283
Germany,2008,1.2481032677224224
Germany,2009,-5.296833773087062
Greece,1946,49.80335032774945
Greece,1947,29.054842473745634
Greece,1948,5.0030138637733534
