Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
FI,1246,,3,Q10_3,Q13_3,Q24_3,Kansallinen Kokoomus (KOK),National Coalition,1246620,1003,3,1003,1246620,3,1246620,1003,3,1004,3
FI,1246,,4,Q10_4,Q13_4,Q24_4,Suomen Keskusta (KESK),Finnish Centre,1246810,1004,4,1004,1246810,4,1246810,1004,4,1005,4
FI,1246,,5,Q10_5,Q13_5,Q24_5,Vihreä Liitto (VIHR),Green Union,1246110,1005,5,1005,1246110,5,1246110,1005,5,1006,5
FI,1246,,6,Q10_6,Q13_6,Q24_6,Vasemmistoliitto (VAS),Left Wing Alliance,1246223,1006,6,1006,1246223,6,1246223,1006,6,1007,6
FI,1246,,7,Q10_7,Q13_7,Q24_7,Suomen ruotsalainen kansanpuolue (RKP),Swedish People's Party,1246901,1007,7,1007,1246901,7,1246901,1007,7,1008,7
FI,1246,,,,,,Suomen Kristillisdemokraatit (KD),Christian Democrats in Finland,1246520,1008,20,,,,20,1008,20,1009,20
FI,1246,,,,,,Sininen tulevaisuus, Blue Reform,20,1009,20,,,,20,1009,20,1010,20
FI,1246,,,,,,Piraattipuolue (PIR),Pirate Party of Finland,20,1010,20,,,,20,1010,20,,
,,,,,,,Seitsemän tähden liike (STL),Seven Star Movement,20,1011,20,,,,20,1011,,,
,,,,,,,Liberaalipuolue - Vapaus valita (LIBE),Liberal Party – Freedom to Choose,20,1012,20,,,,20,1012,,,
,,,,,,,Kansalaispuolue (KP),People's Party,20,1013,20,,,,20,1013,,,
,,,,,,,Feministinen puolue (FP),Feminst Party,20,1014,20,,,,20,1014,,,
,,,,,,,Suomen Kommunistinen Puolue (SKP),Communist Party of Finland,20,1015,20,,,,20,1015,,,
,,,,,,,Eläinoikeuspuolue (EOP),EOP: Animal Justice Party of Finland,20,1016,20,,,,20,1016,,,
,,,,,,,Itsenäisyyspuolue (IPU),The Independence Party,20,1017,20,,,,20,1017,,,
,,,,,,,Suomen Kansa Ensin (SKE),Finnish People's Party,20,1018,20,,,,20,1018,,,
,,,,,,,Kommunistinen Työväenpuolue - Rauhan ja Sosialismin puolesta (KTP),Workers' Party of Finland,20,1019,20,,,,20,1019,,,
,,,,,,,,,,,,,,,,,,,
FR,1250,,1,Q10_1,Q13_1,Q24_1,Les Républicains (LR),The Republicans,1250626,1113,1,1101,1250626,1,1250626,1111,1,1102,1
FR,1250,,2,Q10_2,Q13_2,Q24_2,Parti socialiste (PS),Socialist Party,1250320,1105,2,1102,1250320,2,1250320,1104,2,1103,2
FR,1250,,3,Q10_3,Q13_3,Q24_3,Rassemblement national (RN),National Rally ,1250720,1111,3,1103,1250720,3,1250720,1113,3,1104,3
FR,1250,,4,Q10_4,Q13_4,Q24_4,Europe Ecologie - Les Verts (EELV),Europe Ecology - The Greens,1250110,1114,4,1104,1250110,4,1250110,1107,4,1105,4
FR,1250,,5,Q10_5,Q13_5,Q24_5,France insoumise (LFI),Unbowed France,1250225,1101,5,1105,1250225,5,1250225,1103,5,1106,5
FR,1250,,6,Q10_6,Q13_6,Q24_6,Génération.s," Generation.s, the movement ",1250321,1110,6,1106,1250321,6,1250321,,6,1107,6
FR,1250,,7,Q10_7,Q13_7,Q24_7,La République en Marche (LRM),The Republic Onwards! ,1250438,1102,7,1107,1250438,7,1250438,1108,7,1108,7
FR,1250,,,,,,"La liste Patriote et Gilets jaunes, menée par Florian Philippot",,20,1103,20,,,,20,,20,1117,20
FR,1250,,,,,,"La liste Urgence écologie, menée par Dominique Bourg",,20,1104,20,,,,,,,,
FR,1250,,,,,,"La liste Debout La France, menée par Nicolas Dupont-Aignan",Arise the Republic,1250636,1106,20,,,,1250636,,20,1116,20
FR,1250,,,,,,"La liste Lutte Ouvrirère, menée par Nathalie Arthaud",Workers' Struggle ,20,1107,20,,,,20,1101,20,1109,20
FR,1250,,,,,,"La Liste du Parti communiste français, menée par Ian Brossat",Left Front,1250223,1108,20,,,,1250223,1102,20,1111,20
