respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_10C6IrRdfStQzYo"	"Alberta"	.5424478	0	73	1	0		"College"
"R_10C9xHCNhPWJByp"	"Ontario"	.4920129	0	56	1	0	"Somewhat important"	"BA"
"R_10CNrXfg0TUrOdT"	"Ontario"	.6571001		78	1		"Not very important"	"Some PS"
"R_10CbjdvHv8ajxk7"	"Quebec"	.4317231	0	43	1	1		"BA"
"R_10CddUHLyyXtuyR"	"Saskatchewan"	.7388032	1	78	1	1	"Very important"	"College"
"R_10CqnBpp9TmQZh9"	"Quebec"	.5494294		37	0			"Some PS"
"R_10CvX2oSojtfNZV"	"Ontario"	1.757969	0	41	0	0	"Not very important"	"College"
"R_10D9FAyCAF9vpdZ"	"Nova Scotia"	.7693408		49	0			"Some PS"
"R_10DaElg9Z27zeGs"	"Ontario"	1.77456	1	65	0	0		"HS"
"R_10DfsttrdpUaUxu"	"Quebec"	.4317231	0	35	1	1	"Not very important"	"BA"
"R_10GGYg0grEFjzO0"	"Ontario"	1.032227		34	0			"BA"
"R_10GIIrEPXH3vp9y"	"British Columbia"	1.421508		50	0		"Very important"	"College"
"R_10GIfLIxOcpMEXg"	"Ontario"	.8110893		22	1			"BA"
"R_10GKgtiCgqShQv3"	"Quebec"	1.788458	0	53	0	1	"Somewhat important"	"HS"
"R_10GV6DqAhLeGV88"	"Nova Scotia"	.7366267	0	23	1	1		"BA"
"R_10H14hEQUAukG8O"	"Ontario"	.4920129	0	59	1	1	"Not very important"	"BA"
"R_10H1qJbbjC016Jk"	"Quebec"	.4261902	0	69	1	1	"Not important at all"	"Some PS"
"R_10HF41Ua2xLLzxU"	"Alberta"	.8428965		55	1		"Somewhat important"	"College"
"R_10HhIF9H4whHLO6"	"Ontario"	2.142134		21	0			"College"
"R_10Hhi9yxh8Pr76b"	"Ontario"	.8471103	0	39	0	1		"BA"
"R_10HlB6kZpfx3B5W"	"Quebec"	.2053677	0	76	1	1	"Not very important"	"BA"
"R_10I9RtDhQgfYJA9"	"Ontario"	1.299434	0	50	0	1		"College"
"R_10IApAXVE4O0uq9"	"Quebec"	.3191158		54	1		"Not important at all"	"Some PS"
"R_10IYEFer96IoRxa"	"Ontario"	.4920129	0	58	1	1	"Somewhat important"	"BA"
"R_10Iugwfg2jN1BQl"	"Quebec"	1.40531	0	62	1	0	"Not important at all"	"HS"
"R_10IyNqA2rpoZ0Cl"	"British Columbia"	1.116974	0	57	1	1		"College"
"R_10JI0R8nZn0YSlE"	"Quebec"	.4317231	1	45	1	1		"Some PS"
"R_10JLCHkmzcWSlB7"	"Ontario"	2.931279	1	45	1		"Very important"	"HS"
"R_10Ji7r4BHu2bPVz"	"Alberta"	4.939838	1	83	0	0	"Not very important"	"HS"
"R_10MF6iMlnBN4O8o"	"Alberta"	.2613886	0	75	1	1	"Very important"	"Some PS"
"R_10MLt7Whyi1zdOe"	"New Brunswick"	1.928072	0	52	1	0	"Somewhat important"	"HS"
"R_10Mi7uqEtVMJEVh"	"Quebec"	.4261902	0	70	1	0	"Somewhat important"	"Some PS"
"R_10NJ2BQeBMjJAOE"	"Quebec"	1.40531	0	59	1		"Somewhat important"	"HS"
"R_10NtktXFEacBRcL"	"Ontario"	.8362538	0	69	0	0	"Not important at all"	"College"
"R_10O9vEWWdEIl7ic"	"Quebec"	.5260664		27	1		"Not very important"	"BA"
"R_10OEBmuK2Dhf7cR"	"Quebec"	.5260664	0	27	1	1		"BA"
"R_10OSGW6sXXsJ2Op"	"Alberta"	.2613886		66	1		"Somewhat important"	"BA"
"R_10ObWVfrkjHBius"	"Ontario"	.6571001	0	74	1	1	"Somewhat important"	"College"
"R_10Oh4ZX2HJ5dIKh"	"Quebec"	.3191158	0	53	1	0		"Some PS"
